state_name,year,ai_jobs_count,percent,all_jobs_state_year,state_ai_share_within_state
Louisiana,2017,2,0.3460207612456747,269,0.007434944237918215
Louisiana,2018,2,0.2296211251435132,316,0.006329113924050633
Louisiana,2019,5,0.5605381165919282,331,0.015105740181268883
Louisiana,2020,6,0.6912442396313364,344,0.01744186046511628
Louisiana,2021,8,0.7359705611775529,469,0.017057569296375266
Louisiana,2022,7,0.5200594353640416,533,0.013133208255159476
Louisiana,2023,11,1.1956521739130435,517,0.02127659574468085
Maine,2010,0,0,78,0
Maine,2011,1,0.6329113924050633,66,0.015151515151515152
Maine,2012,0,0,67,0
Maine,2013,1,0.3597122302158273,128,0.0078125
Maine,2014,1,0.2638522427440633,116,0.008620689655172414
Maine,2015,2,0.45977011494252873,135,0.014814814814814815
Maine,2016,0,0,120,0
Maine,2017,1,0.17301038062283736,103,0.009708737864077669
Maine,2018,1,0.1148105625717566,128,0.0078125
Maine,2019,1,0.11210762331838565,81,0.012345679012345678
Maine,2020,1,0.1152073732718894,79,0.012658227848101266
Maine,2021,2,0.18399264029438822,105,0.01904761904761905
Maine,2022,6,0.4457652303120357,141,0.0425531914893617
Maine,2023,1,0.10869565217391304,135,0.007407407407407408
Maryland,2010,7,4.697986577181208,332,0.02108433734939759
Maryland,2011,8,5.063291139240507,340,0.023529411764705882
Maryland,2012,4,2.0408163265306123,339,0.011799410029498525
Maryland,2013,13,4.676258992805756,484,0.026859504132231406
Maryland,2014,16,4.221635883905013,482,0.03319502074688797
Maryland,2015,17,3.9080459770114944,444,0.038288288288288286
Maryland,2016,14,2.9166666666666665,538,0.026022304832713755
Maryland,2017,11,1.9031141868512111,575,0.019130434782608695
Maryland,2018,35,4.018369690011481,742,0.04716981132075472
Maryland,2019,12,1.345291479820628,653,0.018376722817764167
Maryland,2020,32,3.686635944700461,658,0.0486322188449848
Maryland,2021,25,2.2999080036798527,728,0.034340659340659344
Maryland,2022,29,2.1545319465081723,843,0.03440094899169632
Maryland,2023,29,3.152173913043478,750,0.03866666666666667
Massachusetts,2010,6,4.026845637583893,403,0.01488833746898263
Massachusetts,2011,10,6.329113924050633,466,0.02145922746781116
Massachusetts,2012,6,3.061224489795918,391,0.015345268542199489
Massachusetts,2013,15,5.39568345323741,637,0.023547880690737835
Massachusetts,2014,27,7.124010554089709,636,0.04245283018867924
Massachusetts,2015,20,4.597701149425287,689,0.02902757619738752
Massachusetts,2016,15,3.125,723,0.02074688796680498
Massachusetts,2017,30,5.190311418685121,830,0.03614457831325301
Massachusetts,2018,28,3.214695752009185,921,0.03040173724212812
Massachusetts,2019,53,5.941704035874439,1058,0.0500945179584121
Massachusetts,2020,40,4.608294930875576,1036,0.03861003861003861
Massachusetts,2021,37,3.4038638454461823,1285,0.028793774319066146
Massachusetts,2022,65,4.829123328380386,1528,0.04253926701570681
Massachusetts,2023,49,5.326086956521739,1247,0.03929430633520449
Michigan,2010,3,2.0134228187919465,326,0.009202453987730062
Michigan,2011,4,2.5316455696202533,443,0.009029345372460496
Michigan,2012,7,3.5714285714285716,499,0.014028056112224449
Michigan,2013,7,2.5179856115107913,653,0.010719754977029096
Michigan,2014,7,1.8469656992084433,826,0.00847457627118644
Michigan,2015,11,2.528735632183908,867,0.012687427912341407
Michigan,2016,17,3.5416666666666665,939,0.01810436634717785
Michigan,2017,12,2.0761245674740483,1116,0.010752688172043012
Michigan,2018,20,2.296211251435132,1078,0.01855287569573284
Michigan,2019,22,2.4663677130044843,1021,0.021547502448579822
